Fold,Model,Accuracy,Method,K
0,SVM,0.4624,Univeriate,1
0,guass_nb,0.472,Univeriate,1
1,SVM,0.456,Univeriate,1
1,guass_nb,0.4688,Univeriate,1
2,SVM,0.468,Univeriate,1
2,guass_nb,0.4784,Univeriate,1
3,SVM,0.4528,Univeriate,1
3,guass_nb,0.4736,Univeriate,1
4,SVM,0.4816,Univeriate,1
4,guass_nb,0.472,Univeriate,1
5,SVM,0.4616,Univeriate,1
5,guass_nb,0.4856,Univeriate,1
6,SVM,0.4496,Univeriate,1
6,guass_nb,0.4656,Univeriate,1
7,SVM,0.4584,Univeriate,1
7,guass_nb,0.4768,Univeriate,1
8,SVM,0.4672,Univeriate,1
8,guass_nb,0.4656,Univeriate,1
9,SVM,0.4696,Univeriate,1
9,guass_nb,0.484,Univeriate,1
10,SVM,0.46,Univeriate,1
10,guass_nb,0.4864,Univeriate,1
11,SVM,0.4976,Univeriate,1
11,guass_nb,0.4904,Univeriate,1
12,SVM,0.4632,Univeriate,1
12,guass_nb,0.4584,Univeriate,1
13,SVM,0.4632,Univeriate,1
13,guass_nb,0.4776,Univeriate,1
14,SVM,0.4616,Univeriate,1
14,guass_nb,0.4816,Univeriate,1
15,SVM,0.4568,Univeriate,1
15,guass_nb,0.4792,Univeriate,1
16,SVM,0.4752,Univeriate,1
16,guass_nb,0.4776,Univeriate,1
17,SVM,0.4528,Univeriate,1
17,guass_nb,0.4672,Univeriate,1
18,SVM,0.4968,Univeriate,1
18,guass_nb,0.4928,Univeriate,1
19,SVM,0.4904,Univeriate,1
19,guass_nb,0.4808,Univeriate,1
20,SVM,0.4816,Univeriate,1
20,guass_nb,0.4944,Univeriate,1
21,SVM,0.4824,Univeriate,1
21,guass_nb,0.4776,Univeriate,1
22,SVM,0.4792,Univeriate,1
22,guass_nb,0.476,Univeriate,1
23,SVM,0.4888,Univeriate,1
23,guass_nb,0.4984,Univeriate,1
24,SVM,0.4672,Univeriate,1
24,guass_nb,0.4784,Univeriate,1
25,SVM,0.4768,Univeriate,1
