Fold,Model,Accuracy,Method,K
0,SVM,0.48,Univeriate,1
0,guass_nb,0.4944,Univeriate,1
1,SVM,0.4704,Univeriate,1
1,guass_nb,0.48,Univeriate,1
0,SVM,0.5992,Univeriate,2
0,guass_nb,0.5944,Univeriate,2
1,SVM,0.6016,Univeriate,2
1,guass_nb,0.5744,Univeriate,2
0,SVM,0.6944,Univeriate,3
0,guass_nb,0.5496,Univeriate,3
1,SVM,0.7152,Univeriate,3
1,guass_nb,0.5456,Univeriate,3
0,SVM,0.852,Feat_imp_score,1
0,guass_nb,0.852,Feat_imp_score,1
1,SVM,0.8328,Feat_imp_score,1
1,guass_nb,0.8368,Feat_imp_score,1
0,SVM,0.8616,Feat_imp_score,2
0,guass_nb,0.8608,Feat_imp_score,2
1,SVM,0.8736,Feat_imp_score,2
1,guass_nb,0.8768,Feat_imp_score,2
0,SVM,0.8864,Feat_imp_score,3
0,guass_nb,0.888,Feat_imp_score,3
1,SVM,0.8808,Feat_imp_score,3
1,guass_nb,0.8944,Feat_imp_score,3
0,SVM,0.8864,PCA,1
0,guass_nb,0.8808,PCA,1
1,SVM,0.8848,PCA,1
1,guass_nb,0.8808,PCA,1
0,SVM,0.912,PCA,2
0,guass_nb,0.8712,PCA,2
1,SVM,0.9264,PCA,2
1,guass_nb,0.8648,PCA,2
0,SVM,0.9192,PCA,3
0,guass_nb,0.884,PCA,3
1,SVM,0.9144,PCA,3
1,guass_nb,0.8712,PCA,3
0,SVM,0.9464,LDA,1
0,guass_nb,0.9448,LDA,1
1,SVM,0.9432,LDA,1
1,guass_nb,0.9416,LDA,1
0,SVM,0.952,LDA,2
0,guass_nb,0.9536,LDA,2
1,SVM,0.9392,LDA,2
1,guass_nb,0.9336,LDA,2
0,SVM,0.944,LDA,3
0,guass_nb,0.9344,LDA,3
1,SVM,0.948,LDA,3
1,guass_nb,0.948,LDA,3
